Time,Start,End,Real Load,Load Forecast,Error_Forecasting_Load,Error_For_Load_%,Time,Price (EUR/Mwh)
01/01/2025 00:00 - 01/01/2025 00:15,2025-01-01T00:00:00,2025-01-01T00:15:00,48412.11,45422.13,2989.980000000003,6.582650351271512,01/01/2025 00:00:00 - 01/01/2025 00:15:00,22.4
01/01/2025 00:15 - 01/01/2025 00:30,2025-01-01T00:15:00,2025-01-01T00:30:00,47534.7,44776.07,2758.6299999999974,6.160947130911662,01/01/2025 00:15:00 - 01/01/2025 00:30:00,-7.4
01/01/2025 00:30 - 01/01/2025 00:45,2025-01-01T00:30:00,2025-01-01T00:45:00,47573.45,44254.95,3318.5,7.498596202232745,01/01/2025 00:30:00 - 01/01/2025 00:45:00,-10.16
01/01/2025 00:45 - 01/01/2025 01:00,2025-01-01T00:45:00,2025-01-01T01:00:00,47446.87,43619.82,3827.050000000003,8.773649226429644,01/01/2025 00:45:00 - 01/01/2025 01:00:00,-5.3
01/01/2025 01:00 - 01/01/2025 01:15,2025-01-01T01:00:00,2025-01-01T01:15:00,47200.27,42865.48,4334.789999999994,10.112542773345808,01/01/2025 01:00:00 - 01/01/2025 01:15:00,5.54
01/01/2025 01:15 - 01/01/2025 01:30,2025-01-01T01:15:00,2025-01-01T01:30:00,46926.8,42470.27,4456.530000000006,10.493293308472037,01/01/2025 01:15:00 - 01/01/2025 01:30:00,4.0
01/01/2025 01:30 - 01/01/2025 01:45,2025-01-01T01:30:00,2025-01-01T01:45:00,46816.41,42110.53,4705.880000000005,11.175067138789288,01/01/2025 01:30:00 - 01/01/2025 01:45:00,-3.0
01/01/2025 01:45 - 01/01/2025 02:00,2025-01-01T01:45:00,2025-01-01T02:00:00,46525.81,41631.12,4894.689999999995,11.757286376153212,01/01/2025 01:45:00 - 01/01/2025 02:00:00,-8.6
01/01/2025 02:00 - 01/01/2025 02:15,2025-01-01T02:00:00,2025-01-01T02:15:00,46238.96,41406.13,4832.830000000002,11.67177420348147,01/01/2025 02:00:00 - 01/01/2025 02:15:00,4.6
...
