"Time","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","Sequence Sequence 2","22.40","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","Sequence Sequence 2","-7.40","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","Sequence Sequence 2","-10.16","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","Sequence Sequence 2","-5.30","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DE-LU","Sequence Sequence 1","1.60","",""
...
