Time,Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|DE-LU,Sequence Sequence 2,22.4,,
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|DE-LU,Sequence Sequence 2,-7.4,,
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|DE-LU,Sequence Sequence 2,-10.16,,
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|DE-LU,Sequence Sequence 2,-5.3,,
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|DE-LU,Sequence Sequence 2,5.54,,
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|DE-LU,Sequence Sequence 2,4.0,,
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|DE-LU,Sequence Sequence 2,-3.0,,
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|DE-LU,Sequence Sequence 2,-8.6,,
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|DE-LU,Sequence Sequence 2,4.6,,
...
